source,cn_text,toxicity,insult,threat,offensiveness
CONAN,Faudrait faire la différence entre choix et enfermées.,0.003161637345328927,0.00025938096223399043,0.0001100697263609618,0.8125450611114502
CONAN,Do you actually expect people to believe a fact THIS fake? At least try and think of a believable percentage.,0.01007463876157999,0.00048789408174343407,0.0001559005759190768,0.7145305871963501
CONAN,This is not true. How can you say this about an entire faith?,0.0008045845315791667,0.00017454383487347513,0.00011504587746458128,0.787467896938324
CONAN,Perché non possiamo dialogare reciprocamente? In questo modo introdurremo loro alla nostra cultura e noi alla loro. Mi sembra un buon compromesso.,0.0780116394162178,0.0018170478288084269,0.0004593890917021781,0.7045590281486511
CONAN,C'est vous qui manquez de tolérance vis à vis d'une personne qui ne pense pas comme vous.,0.02805715799331665,0.0007421686314046383,0.0002640723832882941,0.8054429888725281
CONAN,Comment définissez vous les valeurs françaises.,0.010504518635571003,0.00047106840065680444,0.00014601927250623703,0.8107694387435913
CONAN,And your evidence is. Or does your logic stop there.,0.0014337238389998674,0.00020683955517597497,0.00010879166075028479,0.8641740083694458
CONAN,"For an individual disrespecting someone else's religion, you sure are angry about an individual disrespecting someone else's religion.",0.03269943594932556,0.001038433169014752,0.0002710344269871712,0.6777438521385193
CONAN,"La invito ad informarsi meglio e noterà che i musulmani sono uomini come noi. Non ci riporteranno al medioevo, anzi arricchiranno il nostro bagaglio culturale.",0.14913825690746307,0.00383681314997375,0.0006763322744518518,0.6684934496879578
CONAN,"Have you ever truely understand the religion Islam, including its history, principles, or teaching? Islam actually teaches people to respect life and care for people. It is also what the majority of Muslims follow.",0.0013436690205708146,0.00020311570551712066,0.0001390964025631547,0.9231998324394226
CONAN,"Hi, actually Italy is not a Christian country, but laic, which means that every institution and every citizen is independent from religious authorities and religious freedom is a fundamental principle of our legal system.",0.0008397551137022674,0.00016940315254032612,0.00011759244080167264,0.8712793588638306
CONAN,I personally have never met a Muslim who tried to evangelize me. Everyone is free to dress as they like and has the right to have a place to practice their religion. This does not question the freedom of us Italians to maintain our culture.,0.005263649858534336,0.00044706714106723666,0.00033733222517184913,0.8523061275482178
CONAN,"Pensi che gli italiani le sposano, ma poi le uccidono insieme ai figli.",0.20149105787277222,0.005393482279032469,0.0006625206442549825,0.6421575546264648
CONAN,Education of children.,0.0036425830330699682,0.00029072019970044494,0.0001241610589204356,0.7233553528785706
CONAN,The Quran does not mention FGM and it is carried out by Christians as well as Muslims. The fact that her parents are Muslim has no bearing on the risk factor.,0.06035918742418289,0.00485942093655467,0.0007686319877393544,0.6889238357543945
CONAN,Et ceux qui affirment ça sont tous dès racistes.,0.22077511250972748,0.0038021851796656847,0.000862122920807451,0.7290253043174744
CONAN,Arrêtez un instant cette construction de l'ennemi permanent.,0.0008050043834373355,0.00018305178673472255,0.00011108291801065207,0.8090231418609619
CONAN,Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!,0.0008892670157365501,0.00018133646517526358,0.00012051568774040788,0.9273570775985718
CONAN,Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.,0.0006476611015386879,0.00017912853218149394,0.00011975719826295972,0.8627980947494507
CONAN,To ban people you respect from practicing their faith because of the actions of a few does seem more that a bit unfair?,0.001093414262868464,0.0001808067609090358,0.00011236871068831533,0.8298129439353943
CONAN,"Terrorists come in all religions and political views. People opposing Trump were sent letter bombs, the 'Troubles' saw Christian terrorists on both sides of the border. Let's challenge all terrorism.",0.05161600187420845,0.001338115194812417,0.0014069684548303485,0.5882275104522705
CONAN,"Double standards all round lots of British culture and Christian faiths oppress women, homosexuals and other cultures from #equalpay #metoo #timesup job restrictions in the church to condoning/ hiding sexual violence and child exploitation #thetruthproject.",0.415439635515213,0.017374102026224136,0.0019807429052889347,0.5515661239624023
CONAN,"Your hatred is the disease, tolerance is the cure.",0.3829059302806854,0.006457652896642685,0.005139435641467571,0.5526632070541382
CONAN,Stop listening to the media and make your own truth.,0.019843772053718567,0.0006576251471415162,0.00027230801060795784,0.7982102036476135
CONAN,"It is true that people are driven to the right, and the right promote this view. But I did not hear about any people being banned for criticism. Rapism and terrorism are discussed in our society and Muslim society and no one makes anyone silent.",0.009408376179635525,0.00048355237231589854,0.00023273030819837004,0.7194177508354187
CONAN,"I do not understand this simplistic sequence concerning a world population of 1.5 billion people on Earth, which has never been at the origin of colonial massacres throughout history or the tragedies of the 20th century.",0.0008136995602399111,0.0001780659076757729,0.0001161026448244229,0.7994504570960999
CONAN,Evidence?,0.0007248962065204978,0.00017847708659246564,0.00010531752923270687,0.831119179725647
CONAN,"Do you have statistics, which can make us worry, that we do not know?",0.0007395310094580054,0.00018507444474380463,0.00012663858069572598,0.8997533321380615
CONAN,"If that were true, you wouldn't meet them on the street and in the workplace!",0.0014142589643597603,0.00021187101083341986,0.00012051879457430914,0.8435813784599304
CONAN,Da dove le arriva la convinzione che i musulmani voglio uccidere tutti quelli che non credono nel loro dio ?,0.12071087211370468,0.0025463206693530083,0.0006387325702235103,0.693286657333374
