submission_date,response_id,evaluator_id,baseclaim_id,left_narrative_id,left_rhetorical_id,left_style_id,right_narrative_id,right_rhetorical_id,right_style_id,kpi_id,left_chosen,response_time
23/09/2024 07:47,1,1,1,111,12,1,129,13,9,1,1,59
23/09/2024 07:47,2,1,1,111,12,1,129,13,9,2,1,7
23/09/2024 07:47,3,1,1,111,12,1,129,13,9,3,1,24
23/09/2024 07:48,4,1,1,72,8,2,117,12,7,1,1,38
23/09/2024 07:48,5,1,1,72,8,2,117,12,7,2,1,8
23/09/2024 07:48,6,1,1,72,8,2,117,12,7,3,1,10
23/09/2024 07:49,7,1,1,36,4,6,94,10,4,1,1,42
23/09/2024 07:49,8,1,1,36,4,6,94,10,4,2,0,6
23/09/2024 07:49,9,1,1,36,4,6,94,10,4,3,0,5
23/09/2024 07:50,10,1,1,101,11,1,116,12,6,1,1,28
23/09/2024 07:50,11,1,1,101,11,1,116,12,6,2,1,15
23/09/2024 07:50,12,1,1,101,11,1,116,12,6,3,1,7
23/09/2024 07:51,13,1,1,81,9,1,104,11,4,1,1,21
23/09/2024 07:51,14,1,1,81,9,1,104,11,4,2,0,11
23/09/2024 07:52,15,1,1,81,9,1,104,11,4,3,1,50
23/09/2024 07:52,16,1,1,54,6,4,114,12,4,1,1,19
23/09/2024 07:52,17,1,1,54,6,4,114,12,4,2,0,1
23/09/2024 07:52,18,1,1,54,6,4,114,12,4,3,0,2
23/09/2024 07:52,19,1,1,10,1,10,53,6,3,1,0,18
23/09/2024 07:52,20,1,1,10,1,10,53,6,3,2,1,7
23/09/2024 07:52,21,1,1,10,1,10,53,6,3,3,1,4
23/09/2024 07:53,22,1,1,45,5,5,122,13,2,1,1,33
23/09/2024 07:53,23,1,1,45,5,5,122,13,2,2,1,3
23/09/2024 07:53,24,1,1,45,5,5,122,13,2,3,1,2
23/09/2024 07:53,25,1,1,79,8,9,86,9,6,1,0,15
23/09/2024 07:54,26,1,1,79,8,9,86,9,6,2,1,6
23/09/2024 07:54,27,1,1,79,8,9,86,9,6,3,0,4
23/09/2024 07:54,28,1,1,40,4,10,86,9,6,1,1,18
23/09/2024 07:54,29,1,1,40,4,10,86,9,6,2,0,5
23/09/2024 07:54,30,1,1,40,4,10,86,9,6,3,0,4
23/09/2024 07:55,31,1,1,52,6,2,68,7,8,1,1,47
23/09/2024 07:55,32,1,1,52,6,2,68,7,8,2,0,7
23/09/2024 07:55,33,1,1,52,6,2,68,7,8,3,1,5
23/09/2024 07:56,34,1,1,14,2,4,48,5,8,1,1,67
23/09/2024 07:56,35,1,1,14,2,4,48,5,8,2,0,1
23/09/2024 07:56,36,1,1,14,2,4,48,5,8,3,0,1
23/09/2024 07:57,37,1,1,2,1,2,13,2,3,1,0,25
23/09/2024 07:57,38,1,1,2,1,2,13,2,3,2,0,27
23/09/2024 07:57,39,1,1,2,1,2,13,2,3,3,0,3
23/09/2024 07:58,40,1,1,115,12,5,118,12,8,1,1,16
23/09/2024 07:58,41,1,1,115,12,5,118,12,8,2,0,20
23/09/2024 07:58,42,1,1,115,12,5,118,12,8,3,1,4
23/09/2024 07:59,43,1,1,105,11,5,123,13,3,1,0,54
23/09/2024 07:59,44,1,1,105,11,5,123,13,3,2,0,2
23/09/2024 07:59,45,1,1,105,11,5,123,13,3,3,0,2
23/09/2024 07:59,46,1,1,16,2,6,55,6,5,1,0,15
